,base0,base1,base2,base3,base4,base5,base6,base7,base8,base9,base10,base11,base12,base13,base14,base15,base16,base17,base18,base19,base20,base21,base22,base23,base24,base25,base26,base27,base28,base29,base30,base31,base32,base33,base34,base35,base36,base37,base38,base39,base40,base41,base42,base43,base44,base45,base46,base47,base48,base49,base50,base51
12,25160.710833966114,28458.886096785936,35554.72352237841,20254.931847765656,19363.072791763676,18249.142047929676,24161.387353277358,29052.64233712592,8473.21400008146,10196.826289664314,17287.580535769524,22481.74054534347,0.0,13898.33116161589,17608.744734191423,22827.945647974077,30127.038502860923,20965.24093653312,26778.303985979255,31319.18627838433,37903.31613133778,45514.78024376297,30906.98653833891,28909.80666297249,31642.695135625258,36271.30127540916,42647.52583725001,45005.212524689676,37600.218521453775,33771.35177723211,37376.02674357874,43580.95023725662,47160.810070333675,48634.735335240875,61111.91536734534,44324.23543109955,44969.878292684545,51797.278571750256,46234.14342647561,50087.20699719517,51846.057136108226,56923.26915397437,61703.78567901641,53207.68990475989,57790.282860644795,57246.35141872465,58994.56938392467,64456.30256315174,62989.21567547459,64921.994580840445,65084.28925779932,70169.06747532818
13,38179.22148558428,39584.71676780452,46951.11305175196,37078.60802933992,30169.12949031729,25210.45574091847,28478.827512031334,35726.039697970904,18764.60171593529,12089.991184052536,17184.425596636076,27353.396599661915,13898.33116161589,0.0,13162.899667873426,25161.80707828569,38024.1054372322,19300.051461282615,29324.701565426778,39868.578228698476,51259.22878821098,64168.28461331602,29318.842904235516,30780.600368730204,37706.845806289806,46425.91001745975,57195.320363867504,66858.00986583845,42036.24674285676,41470.71561731282,47293.029413505195,56108.29006603663,64442.73267772334,72092.59196173385,76144.37015498921,58981.11066116557,63616.83271146441,73441.46661142824,65091.42915254706,69942.0966664038,74977.16896518705,82836.15349104506,90800.26356940041,77510.48270810457,82042.7306852823,85305.21891614475,90398.74551049244,97957.8930343765,91765.34198874884,97468.8155039132,100504.6758275006,108789.58431702324
14,25522.857615496916,21431.7704665675,26447.769361190265,28889.726596361623,24969.796973599507,17076.162647943,16685.637556667614,19201.996448373357,20121.414748489926,13376.889042411472,7612.6283548716465,11731.753454124979,17608.744734191423,13162.899667873426,0.0,7681.434859050727,15731.865816218058,7024.09176189065,12320.94942240095,15355.598459572047,21502.859716478823,29866.10563435647,17738.724464383828,15206.220058046618,17599.746994300345,21891.656255748007,26518.10839738674,28599.87773996318,24185.34400885816,20067.76517230623,23333.078602253823,29457.449054738063,32840.81431535542,34050.269025833215,49122.72546982846,30281.287289774635,30926.93015135963,37673.777389231705,32530.556821549733,36044.258855870256,37803.10899478332,42880.32101264945,47660.83753769149,39504.10329983402,43843.78836915689,43203.40327739973,44951.62124259975,50413.35442182682,49285.62907054872,50879.04643951553,51041.3411164744,56126.11933400327
15,28603.06963417351,23580.96849666637,22062.028577936886,32016.246014879616,28226.419170702775,20202.68206646099,18914.959678120966,15358.33516246143,24835.29598826123,16633.511239514744,10282.022884641,7799.525419718957,22827.945647974077,25161.80707828569,7681.434859050727,0.0,8238.494743026255,10588.430144901253,8701.154121803018,10237.52723463071,16384.788491537485,23428.611304573715,21407.36280803442,15805.774121420538,14619.700917359365,18234.996486819575,21400.0371724454,23481.806515021846,26785.365449913443,21457.858633775446,20881.6743940983,25802.279468665227,29042.118847336085,28932.19780089188,50926.15519033573,27829.883081619115,28475.525943204106,34744.31951290353,32980.23573779614,33592.85464771473,35351.70478662779,40428.91680449393,45209.43332953597,39953.78221608042,42229.50645697979,40751.99906924421,42500.21703444423,47961.9502136713,47888.36815679391,48427.642231360005,48589.93690831888,53674.71512584775
16,35614.55242104039,29344.82154740378,26529.030062440404,39074.95054517746,35285.123701000615,27261.38659675883,24885.772823655447,19825.33664696495,32134.38884314808,23692.215769812585,17340.72741493884,12673.992618420067,30127.038502860923,38024.1054372322,15731.865816218058,8238.494743026255,0.0,18170.419094387107,12867.762288749367,8113.919016044183,13619.251250771784,20450.545294126256,28989.35175752028,23073.176838479347,16834.03202488654,16042.576739851898,19207.61742547773,21289.386768054173,33436.48856934091,28108.981753202916,24445.518700209203,23609.859721697554,26849.699100368412,26739.77805392421,56765.21475888512,32319.310160566714,28631.34657544594,32551.899765935857,39617.30385078203,38282.422632350164,36428.2543918202,40266.57440350982,45422.120595982036,46590.850329066314,46368.18581722131,41828.548674436606,42946.83281726172,48174.63748011736,49112.13628985509,49400.29851420355,49070.669103486245,54155.447321015105
17,31296.411265097355,27205.324116167936,31218.444614270345,33709.96356615852,29752.343529261514,22849.716297543437,22459.19120626805,23972.80730859346,23477.91095083162,18307.961085409246,13386.18200447208,16132.916124312862,20965.24093653312,19300.051461282615,7024.09176189065,10588.430144901253,18170.419094387107,0.0,9659.149524020086,14641.884379152125,21870.690876733075,30871.299234002294,12101.509300488682,9221.163882656057,11787.230793467385,16448.498497419736,25357.93388717434,28691.682678312987,18200.2878334676,14082.70899691567,17520.56240142086,23816.373648588757,27396.23348166581,28811.932557251454,37124.1298964036,24468.771088941678,25114.41395052667,31964.194667949676,26545.500646159177,30032.747384641865,31990.592793950353,37067.80481181649,41848.32133685853,33519.04712444346,37697.38749695514,37390.88707656677,39139.10504176679,44600.83822099386,43300.572895158155,45066.530238682564,45228.824915641446,50313.60313317031
18,36444.23223386414,31572.334275560315,30763.182699739904,39509.72221609448,35568.7328972595,28043.844666151617,26826.201365660432,24059.489284264448,29290.974000277758,23927.143912319832,18193.264572180466,16500.679541521975,26778.303985979255,29324.701565426778,12320.94942240095,8701.154121803018,12867.762288749367,9659.149524020086,0.0,7839.41347787038,15243.605240856312,24311.519330019502,19243.855658271066,11358.112127596345,8106.86072803902,11927.460769665637,18766.238246386747,21889.21177703124,22338.062031387693,17010.555215249704,14259.93973636797,19509.731554892736,22757.26112302938,24291.104833868663,40026.89970505057,21842.79008227012,21853.79128547378,28182.33664289668,28850.50106299783,27605.761648365737,28729.97012889747,33807.182146763604,38587.69867180564,35824.047541282125,36520.97855823116,34130.26441151388,35878.4823767139,41340.21555594097,41413.852026932356,41805.90757362968,41968.202250588554,47052.98046811742
19,38201.07229287762,33259.09524672496,30403.66163434238,41614.24867358373,37824.421829406885,29800.684725165105,28512.962336825083,23895.09467595056,33822.667876135194,26231.51389821886,19880.025543345113,17374.34318454015,31319.18627838433,39868.578228698476,15355.598459572047,10237.52723463071,8113.919016044183,14641.884379152125,7839.41347787038,0.0,9073.19853332685,18281.52477973396,25460.817042285293,18192.92285347075,10603.181069542585,8559.045398382314,12710.682245809243,15714.216566421115,27443.238432580903,22115.73161644291,18214.667744865248,16126.32838022797,19391.727769348276,20661.35139271245,46357.98943328663,25855.03918880172,21147.815233976355,25093.92843491572,33708.0623147686,31203.49764396929,28944.72305035061,32783.04306204023,37938.58925451245,40651.906196345735,39607.818857952734,34345.01733296702,35463.301475792134,40691.106138647774,41628.6049483855,41916.76717273396,41587.13776201666,46671.91597954552
20,44290.11141628079,39220.64347505098,35908.993869069986,47703.2877969869,43913.460952810055,35889.72384856827,34602.001460228246,29400.426910678165,40218.23319277439,32320.553021622025,25969.06466674828,22948.486947648897,37903.31613133778,51259.22878821098,21502.859716478823,16384.788491537485,13619.251250771784,21870.690876733075,15243.605240856312,9073.19853332685,0.0,11506.63120949979,32689.623539866247,25785.545716316552,18363.513644883875,12716.659575478126,9978.485050565756,12108.796804972906,33551.873618889316,27712.35312064852,21822.272165420618,17312.228128044866,19231.345196612205,17559.18809084294,54956.905435381086,29004.950318075178,23177.064111714186,24933.54586217965,37261.13286710178,34019.363119090885,30973.97192808844,33167.01131491504,38697.587174817425,44234.67934538607,41637.067735690565,36374.26621070485,37492.550353529965,41450.104058952755,43657.85382612333,43946.016050471786,43616.38663975449,48011.12604977745
21,51398.90719679903,46086.61190194088,42739.887687449605,54812.08357750514,51022.25673332829,42998.519629086506,41710.797240746484,36231.320729057785,47621.347219847594,39429.34880214026,33077.86044726652,30112.464371453258,45514.78024376297,64168.28461331602,29866.10563435647,23428.611304573715,20450.545294126256,30871.299234002294,24311.519330019502,18281.52477973396,11506.63120949979,0.0,41666.93896090792,34789.96713978922,27430.603465383847,21148.066996104953,17638.146226146964,19739.63650571343,41676.89072165631,35979.32202209365,29406.061075010533,24896.017037634778,26815.134106202117,25190.027791583467,64408.358770789506,36588.73922766509,30760.853021304098,32517.334771769565,44844.92177669169,41603.1520286808,38557.76083767835,40750.80022450496,46281.37608440733,51818.468254975975,49220.85664528048,43958.05512029477,45076.33926311988,49033.89296854266,51241.64273571325,51529.8049600617,51200.17554934441,55594.914959367365
22,42011.04396759053,37919.956818661114,42068.124524215,43651.70916796431,39694.08913106731,33564.349000036615,33173.82390876123,34822.48721853812,33419.65655263742,28249.70668721504,24100.814706965255,26982.59603425752,30906.98653833891,29318.842904235516,17738.724464383828,21407.36280803442,28989.35175752028,12101.509300488682,19243.855658271066,25460.817042285293,32689.623539866247,41666.93896090792,0.0,10579.129147921441,15932.247219631812,22698.50970529935,33154.42614940129,38370.381561021626,11615.465245479976,13813.588073771592,20098.01070679408,26777.54414705374,30601.646382329527,36596.69233134542,29595.05791207005,23718.543845685577,27691.86225589989,34553.69412286928,24912.157612038573,28925.319721801556,34568.04109932357,39645.25311718971,44425.76964223175,31885.704090322855,36468.29704620776,38332.91451296493,41716.55334714001,47178.28652636708,41667.22986103756,47319.94822269764,47482.242899656514,52567.02111718537
23,39478.53956125332,35387.45241232391,37852.410679415945,41654.52929259789,37696.909255700884,31031.844593699403,30641.31950242402,30689.34623957572,31422.47667727099,26252.526811848616,21568.310300628047,22596.32290072358,28909.80666297249,30780.600368730204,15206.220058046618,15805.774121420538,23073.176838479347,9221.163882656057,11358.112127596345,18192.92285347075,25785.545716316552,34789.96713978922,10579.129147921441,0.0,8907.508110258557,15673.770595926093,26095.0746029422,31345.642451648375,13534.259613239385,8119.766311396339,13073.271597420824,19752.80503768049,23576.90727295627,29568.86564098391,25138.472507381794,18775.430696687665,20667.123146526632,27528.95501349603,20582.557960639842,24562.186697836507,27543.30198995032,32620.514007816455,37401.030532858495,27556.10443892413,32138.69739480903,32943.596272566734,34691.814237766754,40153.547416993824,37337.630209638824,40619.23943468253,40781.53411164141,45866.31232917027
24,41872.06649750705,37180.30388126618,36388.77473436587,44387.41776525066,40429.79772835365,33425.37152995313,32434.1709713663,29685.08131889042,34155.36514992376,28985.415284501385,23739.064534852376,22126.27157614795,31642.695135625258,37706.845806289806,17599.746994300345,14619.700917359365,16834.03202488654,11787.230793467385,8106.86072803902,10603.181069542585,18363.513644883875,27430.603465383847,15932.247219631812,8907.508110258557,0.0,9297.631479992217,19006.331321338377,24433.124352821495,17573.4416615386,12245.934845400605,8344.870973822945,14154.705386697598,17420.104775817905,22481.916304153274,29303.231811826787,16418.80333986829,15365.543116881958,22183.457938526903,23838.265543726295,22181.774905963903,22814.90136635244,27609.729128747436,32390.245653789483,30782.109425303428,31096.99181582933,28215.195648968853,29681.02935869774,35142.762537924806,35498.78326438733,35890.83881108466,35796.42961225765,40881.20782978651
25,45671.57511138657,40854.56678666546,38332.3193581501,48582.91651167827,44793.08966750143,37224.88014383265,36108.43387676557,31823.75239975828,38783.97128970767,33151.283685325485,27475.497083285605,25371.812436729015,36271.30127540916,46425.91001745975,21891.656255748007,18234.996486819575,16042.576739851898,16448.498497419736,11927.460769665637,8559.045398382314,12716.659575478126,21148.066996104953,22698.50970529935,15673.770595926093,9297.631479992217,0.0,11850.332489637713,17277.12552112083,24339.704147206136,18737.529203359438,12557.825071473211,9511.270338145787,12548.54575923783,15325.91747245261,37390.578937973776,19996.7224891055,14235.868106648795,18250.746424805275,28736.316673430403,25078.1671140255,22032.77592302305,26167.985019958054,31260.57064355632,35709.863151714686,32695.87173062518,27433.070205639466,28551.354348464574,34013.08752769165,34716.65782105794,35004.8200454064,34675.190634689105,39759.968852217964
26,49363.58223069232,44421.60518453966,41497.36004377593,52776.758611398414,48986.931767221584,40963.1946629798,39675.472274639775,34988.79308538411,44962.44289868661,37394.02383603355,31042.535481159804,28536.85312235484,42647.52583725001,57195.320363867504,26518.10839738674,21400.0371724454,19207.61742547773,25357.93388717434,18766.238246386747,12710.682245809243,9978.485050565756,17638.146226146964,33154.42614940129,26095.0746029422,19006.331321338377,11850.332489637713,0.0,10193.645326054555,32011.946917702484,26314.37821813983,19741.11727105671,15231.073233680958,14436.912626207937,12318.51290315854,46923.86556490772,26923.79542371127,21095.90921735028,22852.390967815743,35179.97797273788,31938.208224726983,28892.817033724532,31085.856420551136,35450.16486303249,42153.52445102215,39555.91284132666,34293.111316340946,35411.39545916606,38202.68174716782,41576.69893175943,41864.86115610788,41535.231745390585,44932.21586537903
27,51445.35157326877,46503.3745271161,43579.129386352375,54858.52795397486,51068.70110979803,43044.96400555624,41757.24161721622,37070.562427960554,47320.12958612628,39475.793178609994,33124.30482373625,30618.622464931286,45005.212524689676,66858.00986583845,28599.87773996318,23481.806515021846,21289.386768054173,28691.682678312987,21889.21177703124,15714.216566421115,12108.796804972906,19739.63650571343,38370.381561021626,31345.642451648375,24433.124352821495,17277.12552112083,10193.645326054555,0.0,37151.139868238926,31453.571168676277,24880.310221593158,19603.699241627586,14599.078914018039,8004.771047479811,57569.78935734906,32062.98837424772,25453.426026030087,23979.139020922954,40319.170923274316,36783.63551389093,33738.24432288848,31861.34992715584,35612.3311508426,47292.717401558606,44401.34013049061,39138.538605504895,38543.89336220989,38364.84803497793,46422.12622092337,45123.44246569378,43107.38471138499,45094.38215318913
28,48457.66351206486,44366.57636313545,48272.81145997267,50344.94115107917,46387.32111418217,40010.96854451095,39620.443453235566,41027.174154295775,40112.888535752274,34942.938670329895,30547.43425143959,32946.38475053373,37600.218521453775,42036.24674285676,24185.34400885816,26785.365449913443,33436.48856934091,18200.2878334676,22338.062031387693,27443.238432580903,33551.873618889316,41676.89072165631,11615.465245479976,13534.259613239385,17573.4416615386,24339.704147206136,32011.946917702484,37151.139868238926,0.0,9189.622868757004,17559.771133755246,23585.901689990864,28532.21966527072,35377.45063856272,19401.416659406255,18335.502624472014,24268.143486178375,31260.818933333576,19529.116390825006,23542.278500587992,31144.32232960206,36221.534347468194,41002.05087251024,26502.662869109292,31085.25582499419,32949.87329175137,37781.25758316257,43754.56775664557,36284.18863982399,41936.90700148407,42099.20167844295,47183.97989597181
29,44340.08467551293,40248.99752658352,43504.49519177085,46516.0744068575,42558.4543699605,35893.38970795902,35502.86461668363,36341.43075193063,36284.021791530606,31114.07192610823,26429.85541488766,28248.407413078494,33771.35177723211,41470.71561731282,20067.76517230623,21457.858633775446,28108.981753202916,14082.70899691567,17010.555215249704,22115.73161644291,27712.35312064852,35979.32202209365,13813.588073771592,8119.766311396339,12245.934845400605,18737.529203359438,26314.37821813983,31453.571168676277,9189.622868757004,0.0,11862.202434192594,17888.332990428215,22834.650965708068,29679.881939000057,12776.973311083315,12397.174449412085,18570.57478661572,25563.250233770923,13590.788215765078,17603.950325528065,25346.874446794776,30523.965647905545,35304.48217294758,20564.334694049365,25146.927649934263,27011.54511669144,32007.528060824938,38056.99905708291,30345.86046476406,35998.57882642414,36160.87350338302,41245.65172091188
