mean_rate
0.0
3.0
0.0
6.0
3.0
6.0
0.0
0.0
6.0
0.0
0.0
0.0
3.0
7.5
0.0
0.0
9.0
1.5
0.0
6.0
0.0
3.0
0.0
0.0
7.5
4.5
0.0
10.5
0.0
0.0
3.0
0.0
0.0
4.5
0.0
0.0
4.5
1.5
0.0
0.0
15.0
0.0
4.5
6.0
3.0
6.0
3.0
0.0
0.0
4.5
0.0
6.0
0.0
3.0
0.0
10.5
0.0
0.0
0.0
1.5
0.0
0.0
4.5
4.5
6.0
0.0
4.5
3.0
0.0
0.0
3.0
9.0
1.5
0.0
0.0
0.0
0.0
9.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.5
1.5
0.0
0.0
0.0
0.0
0.0
1.5
0.0
0.0
0.0
0.0
1.5
0.0
0.0
0.0
4.5
4.5
0.0
0.0
3.0
0.0
9.0
1.5
0.0
7.5
9.0
0.0
0.0
0.0
0.0
0.0
3.0
7.5
0.0
4.5
3.0
0.0
3.0
0.0
4.5
6.0
0.0
1.5
1.5
0.0
6.0
0.0
0.0
0.0
0.0
0.0
0.0
9.0
0.0
0.0
4.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
6.0
4.5
6.0
